name,kana,per,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,vitA_ug,vitB1_mg,vitB2_mg,vitC_mg
アマランサス　玄穀,アマランサス　玄穀,100,343.0,12.7,6.0,57.8,7.4,0.0,0.0,0.0,0.0
あわ　精白粒,あわ　精白粒,100,346.0,11.2,4.4,63.3,3.3,0.0,0.0,0.0,0.0
あわ　あわもち,あわ　あわもち,100,210.0,5.1,1.3,40.5,1.5,0.0,0.0,0.0,0.0
えんばく　オートミール,えんばく　オートミール,100,350.0,13.7,5.7,57.4,9.4,0.0,0.0,0.0,0.0
おおむぎ　七分つき押麦,おおむぎ　七分つき押麦,100,343.0,10.9,2.1,64.9,10.3,0.0,0.0,0.0,0.0
おおむぎ　押麦　乾,おおむぎ　押麦　乾,100,329.0,6.7,1.5,65.8,12.2,0.0,0.0,0.0,0.0
おおむぎ　押麦　めし,おおむぎ　押麦　めし,100,118.0,2.2,0.5,22.0,4.2,0.0,0.0,0.0,0.0
おおむぎ　米粒麦,おおむぎ　米粒麦,100,333.0,7.0,2.1,62.5,8.7,0.0,0.0,0.0,0.0
おおむぎ　大麦めん　乾,おおむぎ　大麦めん　乾,100,343.0,12.9,1.7,65.7,6.3,0.0,0.0,0.0,0.0
おおむぎ　大麦めん　ゆで,おおむぎ　大麦めん　ゆで,100,121.0,4.8,0.6,22.9,2.5,0.0,0.0,0.0,0.0
おおむぎ　麦こがし,おおむぎ　麦こがし,100,368.0,12.5,5.0,72.8,15.5,0.0,0.0,0.0,0.0
キヌア　玄穀,キヌア　玄穀,100,344.0,13.4,3.2,55.4,6.2,1.0,0.0,0.0,0.0
きび　精白粒,きび　精白粒,100,353.0,11.3,3.3,65.0,1.6,0.0,0.0,0.0,0.0
こむぎ　［玄穀］　国産　普通,こむぎ　［玄穀］　国産　普通,100,329.0,10.8,3.1,58.5,14.0,0.0,0.0,0.0,0.0
こむぎ　［玄穀］　輸入　軟質,こむぎ　［玄穀］　輸入　軟質,100,344.0,10.1,3.3,62.2,11.2,0.0,0.0,0.0,0.0
こむぎ　［玄穀］　輸入　硬質,こむぎ　［玄穀］　輸入　硬質,100,332.0,13.0,3.0,57.0,11.4,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　薄力粉　1等,こむぎ　［小麦粉］　薄力粉　1等,100,349.0,8.3,1.5,73.1,2.5,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　薄力粉　2等,こむぎ　［小麦粉］　薄力粉　2等,100,345.0,9.3,1.9,70.7,2.6,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　中力粉　1等,こむぎ　［小麦粉］　中力粉　1等,100,337.0,9.0,1.6,69.5,2.8,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　中力粉　2等,こむぎ　［小麦粉］　中力粉　2等,100,346.0,9.7,1.8,66.5,2.1,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　強力粉　1等,こむぎ　［小麦粉］　強力粉　1等,100,337.0,11.8,1.5,66.8,2.7,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　強力粉　2等,こむぎ　［小麦粉］　強力粉　2等,100,343.0,12.6,1.7,63.6,2.1,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　強力粉　全粒粉,こむぎ　［小麦粉］　強力粉　全粒粉,100,320.0,12.8,2.9,55.6,11.2,0.0,0.0,0.0,0.0
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,100,335.0,10.1,1.9,67.6,2.8,1.0,0.0,0.0,0.0
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,100,360.0,7.8,4.0,72.4,1.8,9.0,0.0,0.0,0.0
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,100,311.0,10.2,1.2,63.4,2.6,5.0,0.0,0.0,0.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,100,337.0,8.8,1.3,70.1,2.5,1.0,0.0,0.0,0.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,100,132.0,3.3,0.5,27.6,1.9,3.0,0.0,0.0,0.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,100,588.0,4.3,47.7,0.0,3.3,0.0,0.0,0.0,0.0
